#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
A00053	NNA T	1960 THE	1960 THE	PX-RT--     	SRV (GRD)	SRV	1960 Aug 10	S00048	1960 Aug 11 2313	Earth	1960 Aug 11 2352?	L	161.6W 25.6N	AFBMD/CIA	US	GEMSD	SRV Mk IID	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Aug 11	     252	 	     688	 	 82.90 	 	LLEO/I	-	-
A00054	00054	1960 KAP	1960 KAP	R2          	Agena A 1056	Agena A	1960 Aug 18	R04016	1960 Aug 18 2003	Earth	1960 Sep 16	R	-	AFBMD	US	LMSD	Agena A	-	     602 	 	    585 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Aug 18	     178	 	     809	 	 79.70 	 	LLEO/I	-	-
A00055	00054	1960 KAP	1960 KAP	PXA         	TOD-4	Transit-On-Discoverer	1960 Aug 18	A00054	1960 Aug 18 2003	Earth	1960 Sep 16	AR	-	AFBMD	US	APL	ARPL?	-	       5 	?	      5 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Aug 18	     178	 	     809	 	 79.70 	 	LLEO/I	-	-
A00056	NNA R	1960 KAP	1960 KAP	C  MR       	Star 10	Star 10	1960 Aug 18	A00057	1960 Aug 19 2243	Earth	1960 Aug 19 2248?	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Aug 19	    -300	?	     178	 	 79.70 	 	SO	-	-
A00057	NNA T	1960 KAP	1960 KAP	PX-RT--     	SRV 101	SRV	1960 Aug 18	S00054	1960 Aug 19 2243	Earth	1960 Aug 19 2309	L	162 21W 17 06N	AFBMD/CIA	US	GEMSD	SRV MkIIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Aug 19	     178	 	     804	 	 79.70 	 	LLEO/I	-	-
A00058	NNA R	1960 LAM	1960 LAM	C  MR       	Priborniy otsek	PO	1960 Aug 19	S00055	1960 Aug 20 0732	Earth	1960 Aug 20 0757	D	-	NII88	SU	OKB1	Vostok PO	-	    2600 	 	   2600 	 	       0 	 	   2.5 	 	  2.7 	 	    2.5 	 	DCone	1960 Aug 20	    -126	 	     297	 	 65.00 	 	SO	-	-
A00059	00057	1960 MU	1960 MU	R2          	Agena A 1058	Agena A	1960 Sep 13	R04076	1960 Sep 13 2220	Earth	1960 Oct 18	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1960 Sep 13	     200	 	     756	 	 80.90 	 	LLEO/I	-	-
A00060	00057	1960 MU	1960 MU	PXA         	Discoverer Optical Beacon	SAO Optical Tracking	1960 Sep 13	A00059	1960 Sep 13 2220	Earth	1960 Oct 18	AR	-	AFBMD	US	APL/SAO?	ARPL?	-	       2 	?	      2 	?	       0 	 	   0.5 	?	  0.5 	?	    0.5 	?	Box	1960 Sep 13	     200	 	     756	 	 80.90 	 	LLEO/I	-	-
A00061	NNA R	1960 MU	1960 MU	C  MR       	Star 10	Star 10	1960 Sep 13	A00062	1960 Sep 15 0054?	Earth	1960 Sep 15 0100?	D	-	AFBMD/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Sep 15	    -300	?	     240	?	 80.90 	 	SO	-	-
A00062	NNA T	1960 MU	1960 MU	PX-RT--     	SRV 106	SRV	1960 Sep 13	S00057	1960 Sep 15 0054?	Earth	1960 Sep 15 0120?	L	159 14W 08 10N	AFBMD/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1960 Sep 15	     200	 	     750	 	 80.90 	 	LLEO/I	-	-
