#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00332	1970-060	Venera-7 SA cap	IKI	SU	Venus	  351	   -5	C	I	1970 Aug 17 0538:22	1970 Dec 15 0520?	1970 Dec 15	    0.000 	-	Component
D00329	1970-060A	Venera-7	IKI	SU	Venus	  351	   -5	C	I	1970 Aug 17 0538:22	1970 Dec 15 0534:09	1970 Dec 15 0500	    0.000 	-	Service module
D00331	1970-060	SA Veneri-7	IKI	SU	Venus	  351	   -5	LP	L	1970 Aug 17 0538:22	1970 Dec 15 0534:09	1970 Dec 15 0600:01	    0.018 	-	First Venus landing
D00345	1970-095	Sbrasivaemiy otsek	IKI	SU	Luna	        -	        -	C	R	1970 Nov 10 1444:01	1971?	-	    0.000 	-	Post-mission orbit decay
D00346	1970-095	Sbrasivaemiy otsek	IKI	SU	Luna	        -	        -	C	R	1970 Nov 10 1444:01	1971?	-	    0.000 	-	Post-mission orbit decay
D00358	1971-008B	Saturn S-IVB-509	MSFC	US	Luna	  -26.0305	   -8.1810	R	I	1971 Jan 31 2103:02	1971 Feb  4 0740:54	1971 Feb  1 0607:12	    0.000 	-	Apollo 14 rocket stage, targeted impact
D00359	1971-008	S-IU-509	MSFC	US	Luna	  -26.0305	   -8.1810	C	IC	1971 Jan 31 2103:02	1971 Feb  4 0740:54	1971 Feb  1 0607:12	    0.000 	-	Attached to S-IVB
D00356	1971-008	LM 8 DS	MSC	US	Luna	  -17.4719	   -3.6459	L	L	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	Fra Mauro Base	Apollo 14 lander
D00348	1971-008C	Antares	MSC	US	Luna	  -17.4719	   -3.6459	AV	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	-	Cabin and ascent vehicle, Apollo 14
D00350	1971-008	A7L-090	MSC	US	Luna	  -17.4719	   -3.6459	H	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	-	A. Shepard
D00351	1971-008	A7L-073	MSC	US	Luna	  -17.4719	   -3.6459	H	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	-	E. Mitchell
D00352	1971-008	A7L-090 PLSS	MSC	US	Luna	  -17.4719	   -3.6459	C	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	-	Spacesuit backpack
D00353	1971-008	A7L-073 PLSS	MSC	US	Luna	  -17.4719	   -3.6459	C	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  6 1848:41	    1.396 	-	Spacesuit backpack
D00354	1971-008	Apollo 14 ALSEP	MSC	US	Luna	  -17.4777	   -3.6442	C	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1977 Sep 30	 2428.000 	-	Experiment package
D00355	1971-008	MET	MSC	US	Luna	  -17.4719	   -3.6459	C	LC	1971 Jan 31 2103:02	1971 Feb  5 0918:12	1971 Feb  5 0918:12	    0.000 	-	Equipment cart
D01060	1971-U01	Antares	MSC	US	Luna	  -19.27	   -3.50	AV	I	1971 Feb  6 1848	1971 Feb  7 0045:25	1971 Feb  7 0045:25	    0.000 	-	Empty ascent vehicle, deorbited
D00399	1971-063B	Saturn S-IVB-510	MSFC	US	Luna	  -11.8245	   -1.2896	R	I	1971 Jul 26 1334:00	1971 Jul 29 2058:42	1971 Jul 26 2334:01	    0.000 	-	Apollo 15 rocket stage, targeted impact
D00400	1971-063	S-IU-510	MSFC	US	Luna	  -11.8245	   -1.2896	C	IC	1971 Jul 26 1334:00	1971 Jul 29 2058:42	1971 Jul 26 2334:01	    0.000 	-	Attached to S-IVB
D00388	1971-063	LM 10 DS	MSC	US	Luna	    3.6333	   26.1233	L	L	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	Hadley Base	Apollo 15 lander
D00385	1971-063C	Falcon	MSC	US	Luna	    3.6333	   26.1233	AV	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	Cabin and ascent vehicle, Apollo 15
D00389	1971-063	A7LB-315	MSC	US	Luna	    3.6333	   26.1233	H	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	D. Scott
D00390	1971-063	A7LB-320	MSC	US	Luna	    3.6333	   26.1233	H	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	J. Irwin
D00392	1971-063	A7LB-320 PLSS	MSC	US	Luna	    3.6333	   26.1233	C	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	Spacesuit backpack
